code,disclosed_date,fiscal_quarter,revenue,revenue_yoy,operating_profit,operating_profit_yoy,ordinary_profit,net_income,operating_margin,operating_margin_change,full_year_revenue_forecast,full_year_operating_profit_forecast,cumulative_revenue,cumulative_operating_profit,theme_score,risk_notes
7203,2026-05-09,Q4,12000000000000,0.09,1300000000000,0.18,1420000000000,980000000000,0.108,0.012,46000000000000,4700000000000,12000000000000,1300000000000,6,
6758,2026-05-14,Q4,3300000000000,0.12,420000000000,0.22,430000000000,300000000000,0.127,0.015,12800000000000,1500000000000,3300000000000,420000000000,8,
9984,2026-05-12,Q4,1750000000000,0.04,210000000000,-0.08,190000000000,90000000000,0.120,-0.018,7200000000000,950000000000,1750000000000,210000000000,7,投資先評価損リスク
7974,2026-05-08,Q4,620000000000,0.16,215000000000,0.28,225000000000,160000000000,0.347,0.022,2100000000000,640000000000,620000000000,215000000000,9,
6861,2026-05-01,Q4,250000000000,0.10,136000000000,0.14,140000000000,98000000000,0.544,0.006,980000000000,520000000000,250000000000,136000000000,8,
8058,2026-05-02,Q4,5200000000000,0.03,360000000000,0.09,390000000000,290000000000,0.069,0.004,20500000000000,1280000000000,5200000000000,360000000000,5,
6501,2026-04-28,Q4,2450000000000,0.11,235000000000,0.26,248000000000,180000000000,0.096,0.014,9700000000000,890000000000,2450000000000,235000000000,8,
9432,2026-05-10,Q4,3300000000000,0.02,510000000000,-0.04,520000000000,350000000000,0.155,-0.010,13200000000000,1850000000000,3300000000000,510000000000,4,低成長リスク
8306,2026-05-15,Q4,2800000000000,0.08,980000000000,0.19,1010000000000,780000000000,0.350,0.018,11200000000000,3650000000000,2800000000000,980000000000,7,
4063,2026-04-25,Q4,720000000000,0.07,235000000000,0.11,244000000000,175000000000,0.326,0.004,2950000000000,910000000000,720000000000,235000000000,6,
